pk,sk,building_id,data,project_id,type,unit_number,updated_at
Aria,34,Building 4," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,34,2025-10-28T00:45:00.000Z
Aria,35,Building 4," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,35,2025-10-28T00:45:00.000Z
Aria,36,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,36,2025-10-28T00:45:00.000Z
Aria,37,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,37,2025-10-28T00:45:00.000Z
Aria,38,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,38,2025-10-28T00:45:00.000Z
Aria,39,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,39,2025-10-28T00:45:00.000Z
Aria,40,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,40,2025-10-28T00:45:00.000Z
Aria,41,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,41,2025-10-28T00:45:00.000Z
Aria,42,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,42,2025-10-28T00:45:00.000Z
Aria,43,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,43,2025-10-28T00:45:00.000Z
Aria,44,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,44,2025-10-28T00:45:00.000Z
Aria,45,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,45,2025-10-28T00:45:00.000Z
Aria,46,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,46,2025-10-28T00:45:00.000Z
Aria,47,Building 5," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,47,2025-10-28T00:45:00.000Z
Aria,48,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,48,2025-10-28T00:45:00.000Z
Aria,49,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,49,2025-10-28T00:45:00.000Z
Aria,50,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,50,2025-10-28T00:45:00.000Z
Aria,51,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,51,2025-10-28T00:45:00.000Z
Aria,52,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,52,2025-10-28T00:45:00.000Z
Aria,53,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,53,2025-10-28T00:45:00.000Z
Aria,54,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,54,2025-10-28T00:45:00.000Z
Aria,55,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,55,2025-10-28T00:45:00.000Z
Aria,56,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,56,2025-10-28T00:45:00.000Z
Aria,57,Building 6," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,57,2025-10-28T00:45:00.000Z
